
sensorVoltage, opampVoltage
0.00,0.00
0.00,0.22
4.97,3.23
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.38
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.40
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.39
5.00,3.38
5.00,3.39
5.00,3.38
5.00,3.38
5.00,3.38
5.00,3.38
5.00,3.38
5.00,3.37
5.00,3.37
5.00,3.37
5.00,3.37
5.00,3.37
5.00,3.36
5.00,3.36
5.00,3.35
5.00,3.34
4.99,3.32
4.95,3.29
4.92,3.28
4.89,3.26
4.86,3.24
4.84,3.22
4.84,3.23
4.83,3.22
4.83,3.22
4.83,3.22
4.83,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.82,3.21
4.81,3.20
4.80,3.20
4.78,3.19
4.77,3.18
4.75,3.16
4.73,3.15
4.71,3.13
4.70,3.13
4.69,3.12
4.68,3.12
4.67,3.11
4.66,3.10
4.66,3.10
4.64,3.09
4.63,3.08
4.62,3.07
4.61,3.07
4.61,3.07
4.61,3.07
4.61,3.06
4.60,3.06
4.60,3.06
4.60,3.06
4.60,3.06
4.59,3.06
4.59,3.06
4.60,3.06
4.59,3.05
4.58,3.05
4.58,3.05
4.57,3.04
4.57,3.04
4.56,3.04
4.56,3.04
4.55,3.03
4.54,3.03
4.54,3.03
4.53,3.02
4.53,3.02
4.52,3.01
4.51,3.01
4.50,3.00
4.49,2.99
4.48,2.98
4.47,2.98
4.47,2.98
4.47,2.97
4.46,2.97
4.46,2.97
4.44,2.96
4.43,2.95
4.41,2.94
4.39,2.92
4.37,2.91
4.36,2.90
4.35,2.90
4.35,2.89
4.35,2.89
4.35,2.89
4.35,2.89
4.35,2.89
4.34,2.89
4.34,2.89
4.34,2.89
4.34,2.89
4.34,2.88
4.34,2.88
4.34,2.88
4.34,2.88
4.34,2.88
4.34,2.88
4.34,2.88
4.33,2.88
4.33,2.88
4.33,2.88
4.33,2.88
4.33,2.88
4.33,2.88
4.33,2.88
4.32,2.87
4.32,2.87
4.31,2.87
4.31,2.87
4.31,2.86
4.30,2.86
4.29,2.85
4.27,2.84
4.24,2.83
4.22,2.81
4.22,2.81
4.22,2.81
4.21,2.80
4.21,2.80
4.21,2.80
4.21,2.80
4.20,2.80
4.20,2.80
4.20,2.80
4.20,2.79
4.20,2.79
4.19,2.79
4.19,2.79
4.18,2.79
4.18,2.79
4.17,2.78
4.16,2.77
4.16,2.77
4.15,2.76
4.14,2.76
4.13,2.75
4.13,2.75
4.13,2.75
4.12,2.74
4.12,2.74
4.11,2.73
4.10,2.72
4.08,2.71
4.08,2.71
4.07,2.71
4.07,2.71
4.08,2.71
4.07,2.71
4.08,2.71
4.07,2.71
4.08,2.71
4.08,2.71
4.08,2.71
4.08,2.71
4.07,2.71
4.08,2.71
4.07,2.71
4.07,2.71
4.08,2.71
4.07,2.71
4.07,2.71
4.07,2.71
4.07,2.71
4.07,2.70
4.07,2.71
4.06,2.70
4.06,2.70
4.05,2.69
4.04,2.69
4.04,2.68
4.03,2.68
4.02,2.67
4.01,2.67
4.00,2.66
3.99,2.66
3.98,2.65
3.98,2.65
3.97,2.64
3.97,2.64
3.97,2.64
3.97,2.64
3.97,2.64
3.96,2.64
3.97,2.64
3.96,2.64
3.96,2.63
3.96,2.63
